opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
aggressor,43,0,13,deployed_aggressor_s43_o0_h0013,-3000,turn,6200,Ks 6s Jd 8d,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2700, ""seat"": 1}, {""action"": ""call"", ""amount"": 2200, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 300, ""seat"": 1}, {""action"": ""call"", ""amount"": 300, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 200, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
aggressor,43,0,33,deployed_aggressor_s43_o0_h0033,-3000,river,6400,5h Jc 4h Ks 4c,False,,,"[{""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2700, ""seat"": 1}, {""action"": ""call"", ""amount"": 2200, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 300, ""seat"": 1}, {""action"": ""call"", ""amount"": 300, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 400, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
loose_aggressive,42,0,77,deployed_loose_aggressive_s42_o0_h0077,-2893,turn,9512,5s 5h 9s 4s,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 235, ""seat"": 1}, {""action"": ""call"", ""amount"": 135, ""seat"": 0}, {""action"": ""raise"", ""amount"": 310, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1012, ""seat"": 1}, {""action"": ""call"", ""amount"": 702, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1646, ""seat"": 0}, {""action"": ""raise"", ""amount"": 5372, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
loose_aggressive,42,0,95,deployed_loose_aggressive_s42_o0_h0095,-2893,turn,9512,Qd 4h As Js,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 235, ""seat"": 1}, {""action"": ""call"", ""amount"": 135, ""seat"": 0}, {""action"": ""raise"", ""amount"": 310, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1012, ""seat"": 1}, {""action"": ""call"", ""amount"": 702, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1646, ""seat"": 0}, {""action"": ""raise"", ""amount"": 5372, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
aggressor,43,0,1,deployed_aggressor_s43_o0_h0001,-2800,flop,13050,Qh 2c 3d,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1400, ""seat"": 0}, {""action"": ""call"", ""amount"": 1000, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1400, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 8850, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
aggressor,43,0,21,deployed_aggressor_s43_o0_h0021,-2800,flop,11718,2d 2h 6d,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1400, ""seat"": 0}, {""action"": ""call"", ""amount"": 1000, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1400, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 7518, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
tight_passive,43,1,139,deployed_tight_passive_s43_o1_h0139,-2691,river,5382,6s 5s Kc 4d Kd,True,Jh Jc,Two Pair,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""call"", ""amount"": 150, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 330, ""seat"": 1}, {""action"": ""call"", ""amount"": 330, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 580, ""seat"": 1}, {""action"": ""call"", ""amount"": 580, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1531, ""seat"": 1}, {""action"": ""call"", ""amount"": 1531, ""seat"": 0}]"
loose_aggressive,43,0,3,deployed_loose_aggressive_s43_o0_h0003,-2691,turn,8847,3c Kc Td 3h,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 660, ""seat"": 0}, {""action"": ""call"", ""amount"": 660, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1531, ""seat"": 0}, {""action"": ""raise"", ""amount"": 4996, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
tight_passive,43,0,112,deployed_tight_passive_s43_o0_h0112,-2690,river,5380,Ts 8s 2s 2c Jh,True,Th 9s,Two Pair,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 250, ""seat"": 0}, {""action"": ""call"", ""amount"": 150, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 330, ""seat"": 0}, {""action"": ""call"", ""amount"": 330, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 765, ""seat"": 0}, {""action"": ""call"", ""amount"": 765, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1345, ""seat"": 0}, {""action"": ""call"", ""amount"": 1345, ""seat"": 1}]"
loose_aggressive,42,0,59,deployed_loose_aggressive_s42_o0_h0059,-2561,turn,8420,5d Jd Th 6h,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 235, ""seat"": 1}, {""action"": ""call"", ""amount"": 135, ""seat"": 0}, {""action"": ""raise"", ""amount"": 235, ""seat"": 0}, {""action"": ""raise"", ""amount"": 869, ""seat"": 1}, {""action"": ""call"", ""amount"": 634, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1457, ""seat"": 0}, {""action"": ""raise"", ""amount"": 4755, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
