file,hand_num,thorp_cards,board,n_villains,villain_cards,commit_street,equity_at_commit,equity_river,invested,final_pot,delta,won,origin,commit_frac
55a52ba6,51,3s 6h,Ac 9d Ad 5c 6s,1,8c Qd,river,1.0,1.0,4879,10158,5279,1,postflop-escalation,0.873
55a52ba6,111,4d Ac,8c Jd 2h Kh As,1,Qc Kc,river,1.0,1.0,3413,6976,3563,1,none,0.329
55a52ba6,145,As Tc,9d 8c 4h Js Kh,1,7c 7h,river,0.0,0.0,4637,9524,-4637,0,postflop-escalation,0.443
55a52ba6,149,Td 6h,Kh Ah 8s 9h Ac,1,6s 6c,river,0.0,0.0,3710,7620,-3710,0,postflop-escalation,0.652
55a52ba6,157,7h 9d,Tc Ks 6h 4s 6c,1,Kc Jd,river,0.0,0.0,2178,4356,-2178,0,postflop-escalation,1.0
5ff29149,43,Qs Ac,Jd 3d 5c 4d 8c,1,Qc 2c,preflop,0.728,1.0,8800,19879,9110,1,preflop-raise,1.0
5ff29149,46,4s 4d,2h Ah 6s Jc 7d,1,Qd Qc,river,0.0,0.0,965,1980,-965,0,none,0.053
5ff29149,49,7d 7h,7s Ah Th 4s 6d,1,Ad 3d,river,1.0,1.0,2536,5072,2536,1,none,0.149
5ff29149,100,Ad Ah,4d 3s Tc 7d Ts,1,Qs Qh,river,1.0,1.0,11438,22926,11488,1,postflop-escalation,0.546
5ff29149,120,Kh Ts,Jd Jc Qs Kd 6d,1,2c Ah,river,1.0,1.0,990,1008,18,1,none,0.03
5ff29149,694,8c Kc,5d As Qd 3d Qh,1,Ah 5h,river,0.0,0.0,1670,1876,188,1,none,0.032
5ff29149,696,7h Jc,Ks Ad 5s Td 2d,1,9d Js,preflop,0.3207,0.0,150,168,-18,0,none,0.003
5ff29149,697,Qh Tc,Kc Td 7d 4h 4c,1,Ac Ks,river,0.0,0.0,1780,2016,128,1,none,0.034
5ff29149,700,3h 7c,5s 8c Jd 2d 5d,1,4h Ac,river,0.0,0.0,1680,1888,184,1,none,0.032
5ff29149,705,3d Ts,6c Kc 4c 5s Th,1,Ad Kh,preflop,0.34,0.0,150,174,-24,0,none,0.003
5ff29149,706,Kd 3c,Kh Ac As 7c 8d,1,9d 2h,river,1.0,1.0,1823,2071,248,1,none,0.035
5ff29149,758,7c As,6s 8d Qd Th 9s,1,6h 9h,river,1.0,1.0,1267,2534,1267,1,none,0.023
60875d32,38,As Qd,Jd Kc Qh 7h 5c,1,Ks Th,river,0.0,0.0,2536,5072,-2536,0,none,0.226
60875d32,126,Kc Ks,7h Jd Qd 8h Kd,1,Th Tc,river,1.0,1.0,1775,3600,1825,1,none,0.224
60875d32,314,Ac Tc,4h Kc 9c 4d 6d,1,Ks Kd,preflop,0.3007,0.0,9519,18356,-8787,0,preflop-raise,1.0
b03aa014,75,Kd Ad,5d 2c 6s Js Th,1,Td Ts,river,0.0,0.0,7863,15876,-7863,0,postflop-escalation,0.619
b03aa014,87,Ac Ts,As Kc 4h Qh 9d,1,2d 2c,river,1.0,1.0,2536,5072,2536,1,none,0.385
b03aa014,95,6c 8s,Tc 3c 5c 6h 9d,1,Th Jd,river,0.0,0.0,1622,3294,-1622,0,none,0.174
