PUBLIC REPO DRIFT H2H 2026-05-29T00:30:21Z
name=dominic_live_master_100k_b142 repo=TobyCoad/fullhouse-engine head_sha=93516f33675d32beaeb3228a554c1323926cd71d bot_path=bots/master/bot.py
hero=/Users/farhad/Code/PokerBot/submissions/v_final.zip sha256=e4b4a8f11f801ecef2eca53629241e83cc9bace8ec74004f19368375f22d9598
opponent_src=consult/artifacts/2026-05-29-public-repo-drift/_clones/TobyCoad_fullhouse-engine/bots/master
opponent_zip=/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-29-public-repo-drift/opponent_zips/dominic_live_master_100k_b142.zip sha256=d09ad23f6f76a3f8e05cc57561af6a75bd554da73c67c476307689842f8b3508
target_scheduled_hands=100000 match_len=500 seed_stride=1000
seed schedule: seed = base + k * seed_stride; each seed runs two seat orientations

seed=32142 o=1 hands=  24/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -416.67 hero_err=0 opp_err=0 dur=0.56s
seed=33142 o=0 hands=  13/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -769.23 hero_err=0 opp_err=0 dur=0.37s
seed=33142 o=1 hands=  30/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -333.33 hero_err=0 opp_err=0 dur=0.59s
seed=34142 o=0 hands=  29/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -344.83 hero_err=0 opp_err=0 dur=0.62s
seed=34142 o=1 hands=   6/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-1666.67 hero_err=0 opp_err=0 dur=0.35s
seed=35142 o=0 hands=  14/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -714.29 hero_err=0 opp_err=0 dur=0.42s
seed=35142 o=1 hands=  17/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -588.24 hero_err=0 opp_err=0 dur=0.42s
seed=36142 o=0 hands=  53/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -188.68 hero_err=0 opp_err=0 dur=0.86s
seed=36142 o=1 hands=  14/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -714.29 hero_err=0 opp_err=0 dur=0.41s
seed=37142 o=0 hands=  32/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -312.50 hero_err=0 opp_err=0 dur=0.63s
seed=37142 o=1 hands=  52/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -192.31 hero_err=0 opp_err=0 dur=0.76s
seed=38142 o=0 hands=  10/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-1000.00 hero_err=0 opp_err=0 dur=0.38s
seed=38142 o=1 hands=  30/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -333.33 hero_err=0 opp_err=0 dur=0.53s
seed=39142 o=0 hands=  27/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -370.37 hero_err=0 opp_err=0 dur=0.56s
seed=39142 o=1 hands=  10/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-1000.00 hero_err=0 opp_err=0 dur=0.32s
seed=40142 o=0 hands=  35/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -285.71 hero_err=0 opp_err=0 dur=0.64s
seed=40142 o=1 hands=  25/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -400.00 hero_err=0 opp_err=0 dur=0.52s
seed=41142 o=0 hands=  16/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -625.00 hero_err=0 opp_err=0 dur=0.36s
seed=41142 o=1 hands=  10/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-1000.00 hero_err=0 opp_err=0 dur=0.39s
