opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
loose_aggressive,42,0,9,deployed_loose_aggressive_s42_o0_h0009,-4077,preflop,13419,,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 235, ""seat"": 1}, {""action"": ""raise"", ""amount"": 822, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1773, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4077, ""seat"": 0}, {""action"": ""raise"", ""amount"": 9342, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
aggressor,43,1,0,deployed_aggressor_s43_o1_h0000,-4000,turn,14000,Qh 3c 7c 2d,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 400, ""seat"": 0}, {""action"": ""call"", ""amount"": 300, ""seat"": 1}, {""action"": ""raise"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1600, ""seat"": 0}, {""action"": ""call"", ""amount"": 1200, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2000, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8000, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
loose_aggressive,42,0,17,deployed_loose_aggressive_s42_o0_h0017,-4000,river,13400,6h Ts 9d 2h 2c,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 500, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1000, ""seat"": 0}, {""action"": ""call"", ""amount"": 1000, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2000, ""seat"": 0}, {""action"": ""raise"", ""amount"": 7400, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
loose_aggressive,42,1,54,deployed_loose_aggressive_s42_o1_h0054,-3920,river,14896,5s 8h Jc 2s 4h,False,,,"[{""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 900, ""seat"": 0}, {""action"": ""call"", ""amount"": 900, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2520, ""seat"": 0}, {""action"": ""call"", ""amount"": 2520, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 7056, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
loose_aggressive,44,0,29,deployed_loose_aggressive_s44_o0_h0029,-3920,river,11820,5s Kd 3c 6h 6d,False,,,"[{""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 400, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 900, ""seat"": 1}, {""action"": ""call"", ""amount"": 900, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2520, ""seat"": 1}, {""action"": ""call"", ""amount"": 2520, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 3980, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
loose_aggressive,44,0,21,deployed_loose_aggressive_s44_o0_h0021,-3700,river,9479,9c 3s 3c Td Tc,True,9s 2c,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 132, ""seat"": 0}, {""action"": ""raise"", ""amount"": 430, ""seat"": 1}, {""action"": ""call"", ""amount"": 298, ""seat"": 0}, {""action"": ""raise"", ""amount"": 530, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1961, ""seat"": 1}, {""action"": ""call"", ""amount"": 1431, ""seat"": 0}, {""action"": ""raise"", ""amount"": 3288, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 1209, ""seat"": 1}]"
loose_aggressive,44,1,56,deployed_loose_aggressive_s44_o1_h0056,-3684,river,7368,Ts 4c Qd 3s 7d,True,8c 4h,Pair,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 180, ""seat"": 0}, {""action"": ""call"", ""amount"": 180, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""raise"", ""amount"": 504, ""seat"": 0}, {""action"": ""call"", ""amount"": 504, ""seat"": 1}, {""action"": ""raise"", ""amount"": 784, ""seat"": 1}, {""action"": ""raise"", ""amount"": 2900, ""seat"": 0}, {""action"": ""call"", ""amount"": 2116, ""seat"": 1}]"
loose_passive,44,0,17,deployed_loose_passive_s44_o0_h0017,-3361,river,9604,Ad Jd Jh 4s 5c,True,As 8c,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 660, ""seat"": 0}, {""action"": ""call"", ""amount"": 660, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1531, ""seat"": 0}, {""action"": ""call"", ""amount"": 1531, ""seat"": 1}, {""action"": ""raise"", ""amount"": 3552, ""seat"": 0}, {""action"": ""call"", ""amount"": 3552, ""seat"": 1}]"
aggressor,42,0,9,deployed_aggressor_s42_o0_h0009,-3248,flop,12598,2c 3s 2s,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1400, ""seat"": 0}, {""action"": ""call"", ""amount"": 1000, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1848, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 7950, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
aggressor,42,1,0,deployed_aggressor_s42_o1_h0000,-2800,flop,12600,9s Ts 3c,False,,,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 400, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1400, ""seat"": 1}, {""action"": ""call"", ""amount"": 1000, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 8400, ""seat"": 0}, {""action"": ""fold"", ""amount"": 0, ""seat"": 1}]"
loose_aggressive,43,0,1,deployed_loose_aggressive_s43_o0_h0001,-2800,river,10640,Qh 2c 3d 7h 5h,False,,,"[{""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""call"", ""amount"": 50, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 400, ""seat"": 1}, {""action"": ""raise"", ""amount"": 500, ""seat"": 0}, {""action"": ""call"", ""amount"": 500, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1800, ""seat"": 1}, {""action"": ""call"", ""amount"": 1800, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 0}, {""action"": ""raise"", ""amount"": 5040, ""seat"": 1}, {""action"": ""fold"", ""amount"": 0, ""seat"": 0}]"
