[gate] candidate=consult/artifacts/2026-05-31-scratch-improve/gate-harness/true_noop_candidate.zip sha=e4b4a8f11f80 run_dir=consult/artifacts/2026-05-31-scratch-improve/gate-harness/runs/floor_truenoop_40seed
[gate] Stage 1 SKIPPED (--skip-stage1)
[gate] Stage 2 SKIPPED (--skip-stage2)
[gate:candidate] hero=consult/artifacts/2026-05-31-scratch-improve/gate-harness/true_noop_candidate.zip comps=C0,C1 hands=400 seeds=142..181 jobs=1 pending=80 resumed=0
[gate:locked] C0 seed=163 hands=347/400 delta=-10000 bust=1 hero_err=0/156 p99_ms=1.027 dur=0.9s
[gate:locked] C0 seed=164 hands=303/400 delta=-10000 bust=1 hero_err=0/105 p99_ms=1.105 dur=0.69s
[gate:locked] C0 seed=165 hands=400/400 delta=-10000 bust=1 hero_err=0/106 p99_ms=2.648 dur=1.48s
[gate:locked] C0 seed=166 hands=400/400 delta=-10000 bust=1 hero_err=0/17 p99_ms=0.703 dur=1.17s
[gate:locked] C0 seed=167 hands=400/400 delta=-10000 bust=1 hero_err=0/130 p99_ms=5.090 dur=1.4s
[gate:locked] C0 seed=168 hands=400/400 delta=-10000 bust=1 hero_err=0/112 p99_ms=1.948 dur=1.24s
[gate:locked] C0 seed=169 hands=400/400 delta=+7140 bust=0 hero_err=0/483 p99_ms=1.796 dur=1.37s
[gate:locked] C0 seed=170 hands=400/400 delta=-10000 bust=1 hero_err=0/17 p99_ms=9.079 dur=1.15s
[gate:locked] C0 seed=171 hands=400/400 delta=+17250 bust=0 hero_err=0/471 p99_ms=1.068 dur=1.23s
[gate:locked] C0 seed=172 hands=400/400 delta=+26951 bust=0 hero_err=0/478 p99_ms=1.136 dur=1.26s
[gate:locked] C0 seed=173 hands=254/400 delta=-10000 bust=1 hero_err=0/137 p99_ms=1.189 dur=0.79s
[gate:locked] C0 seed=174 hands=269/400 delta=-10000 bust=1 hero_err=0/44 p99_ms=1.502 dur=0.8s
[gate:locked] C0 seed=175 hands=400/400 delta=-10000 bust=1 hero_err=0/7 p99_ms=0.514 dur=1.05s
[gate:locked] C0 seed=176 hands=400/400 delta=-10000 bust=1 hero_err=0/56 p99_ms=5.798 dur=1.05s
[gate:locked] C0 seed=177 hands=400/400 delta=-10000 bust=1 hero_err=0/62 p99_ms=15.234 dur=0.9s
[gate:locked] C0 seed=178 hands=286/400 delta=-10000 bust=1 hero_err=0/63 p99_ms=1.042 dur=1.0s
[gate:locked] C0 seed=179 hands=400/400 delta=-10000 bust=1 hero_err=0/94 p99_ms=1.226 dur=1.29s
[gate:locked] C0 seed=180 hands=400/400 delta=+10063 bust=0 hero_err=0/481 p99_ms=1.275 dur=1.21s
[gate:locked] C0 seed=181 hands=400/400 delta=-10000 bust=1 hero_err=0/108 p99_ms=1.219 dur=1.15s
[gate:locked] C1 seed=142 hands=400/400 delta=+2371 bust=0 hero_err=0/469 p99_ms=1.213 dur=1.4s
[gate:locked] C1 seed=143 hands=352/400 delta=+50000 bust=0 hero_err=0/393 p99_ms=1.134 dur=2.05s
[gate:locked] C1 seed=144 hands=400/400 delta=+10413 bust=0 hero_err=0/564 p99_ms=1.165 dur=2.51s
[gate:locked] C1 seed=145 hands=400/400 delta=+896 bust=0 hero_err=0/553 p99_ms=1.244 dur=3.17s
[gate:locked] C1 seed=146 hands=400/400 delta=+26868 bust=0 hero_err=0/364 p99_ms=1.279 dur=1.51s
[gate:locked] C1 seed=147 hands=357/400 delta=-10000 bust=1 hero_err=0/276 p99_ms=2.130 dur=2.9s
[gate:locked] C1 seed=148 hands=400/400 delta=+20650 bust=0 hero_err=0/470 p99_ms=1.150 dur=1.18s
[gate:locked] C1 seed=149 hands=400/400 delta=-10000 bust=1 hero_err=0/21 p99_ms=0.620 dur=4.28s
[gate:locked] C1 seed=150 hands=400/400 delta=+21619 bust=0 hero_err=0/522 p99_ms=1.483 dur=2.86s
[gate:locked] C1 seed=151 hands=400/400 delta=-10000 bust=1 hero_err=0/132 p99_ms=2.017 dur=3.46s
[gate:locked] C1 seed=152 hands=270/400 delta=+50000 bust=0 hero_err=0/296 p99_ms=1.322 dur=1.61s
[gate:locked] C1 seed=153 hands=400/400 delta=-10000 bust=1 hero_err=0/510 p99_ms=0.926 dur=2.47s
[gate:locked] C1 seed=154 hands=371/400 delta=-10000 bust=1 hero_err=0/709 p99_ms=1.018 dur=2.96s
[gate:locked] C1 seed=155 hands=400/400 delta=-10000 bust=1 hero_err=0/138 p99_ms=0.786 dur=3.99s
[gate:locked] C1 seed=156 hands=400/400 delta=+17506 bust=0 hero_err=0/487 p99_ms=1.146 dur=1.53s
[gate:locked] C1 seed=157 hands=400/400 delta=+2780 bust=0 hero_err=0/561 p99_ms=0.965 dur=2.47s
[gate:locked] C1 seed=158 hands=400/400 delta=+4414 bust=0 hero_err=0/598 p99_ms=0.639 dur=2.69s
[gate:locked] C1 seed=159 hands=400/400 delta=+20059 bust=0 hero_err=0/510 p99_ms=0.690 dur=2.14s
[gate:locked] C1 seed=160 hands=400/400 delta=+6541 bust=0 hero_err=0/428 p99_ms=1.083 dur=1.83s
[gate:locked] C1 seed=161 hands=400/400 delta=-10000 bust=1 hero_err=0/87 p99_ms=0.623 dur=3.67s
[gate:locked] C1 seed=162 hands=400/400 delta=+33986 bust=0 hero_err=0/489 p99_ms=0.770 dur=1.33s
[gate:locked] C1 seed=163 hands=400/400 delta=-10000 bust=1 hero_err=0/83 p99_ms=0.694 dur=3.88s
[gate:locked] C1 seed=164 hands=400/400 delta=+16551 bust=0 hero_err=0/530 p99_ms=0.998 dur=2.58s
[gate:locked] C1 seed=165 hands=400/400 delta=+19817 bust=0 hero_err=0/481 p99_ms=1.151 dur=1.28s
[gate:locked] C1 seed=166 hands=400/400 delta=+26777 bust=0 hero_err=0/551 p99_ms=0.698 dur=2.44s
[gate:locked] C1 seed=167 hands=385/400 delta=-10000 bust=1 hero_err=0/590 p99_ms=1.291 dur=2.79s
[gate:locked] C1 seed=168 hands=400/400 delta=+16370 bust=0 hero_err=0/475 p99_ms=0.787 dur=1.02s
[gate:locked] C1 seed=169 hands=400/400 delta=+23090 bust=0 hero_err=0/576 p99_ms=1.044 dur=2.89s
[gate:locked] C1 seed=170 hands=400/400 delta=+36030 bust=0 hero_err=0/357 p99_ms=1.282 dur=1.26s
[gate:locked] C1 seed=171 hands=400/400 delta=+33308 bust=0 hero_err=0/469 p99_ms=0.826 dur=0.95s
[gate:locked] C1 seed=172 hands=400/400 delta=-10000 bust=1 hero_err=0/67 p99_ms=2.227 dur=3.94s
[gate:locked] C1 seed=173 hands=400/400 delta=+29535 bust=0 hero_err=0/488 p99_ms=0.804 dur=1.04s
[gate:locked] C1 seed=174 hands=400/400 delta=+41795 bust=0 hero_err=0/420 p99_ms=1.156 dur=2.04s
[gate:locked] C1 seed=175 hands=361/400 delta=-10000 bust=1 hero_err=0/604 p99_ms=1.327 dur=2.58s
[gate:locked] C1 seed=176 hands=400/400 delta=+35816 bust=0 hero_err=0/483 p99_ms=1.121 dur=1.41s
[gate:locked] C1 seed=177 hands=400/400 delta=+11571 bust=0 hero_err=0/546 p99_ms=1.085 dur=2.57s
[gate:locked] C1 seed=178 hands=400/400 delta=+24717 bust=0 hero_err=0/479 p99_ms=0.718 dur=1.48s
[gate:locked] C1 seed=179 hands=400/400 delta=+3012 bust=0 hero_err=0/479 p99_ms=1.019 dur=1.45s
[gate:locked] C1 seed=180 hands=400/400 delta=+13749 bust=0 hero_err=0/480 p99_ms=0.517 dur=1.09s
[gate:locked] C1 seed=181 hands=400/400 delta=+23035 bust=0 hero_err=0/487 p99_ms=0.710 dur=1.34s
[gate] wrote /Users/farhad/Code/PokerBot/consult/artifacts/2026-05-31-scratch-improve/gate-harness/runs/floor_truenoop_40seed/gate_summary.json
[gate] wrote /Users/farhad/Code/PokerBot/consult/artifacts/2026-05-31-scratch-improve/gate-harness/runs/floor_truenoop_40seed/GATE_RESULTS.md
[gate] verdict=GATE_FAIL_POD_REGRESSION protected_sha_ok=True
[gate] C0 paired_n=40 paired_diff p50=0 mean=-1299.4 stdev=9115.3 min=-27250 max=21950 cand_bust=75.0% lock_bust=72.5% PASS=False
[gate] C1 paired_n=40 paired_diff p50=-2310 mean=-5401.0 stdev=15988.6 min=-36777 max=40672 cand_bust=37.5% lock_bust=27.5% PASS=False
