[gate] candidate=consult/artifacts/2026-05-31-scratch-improve/gate-harness/scaffold_candidate.zip sha=8266cb49fd6c run_dir=consult/artifacts/2026-05-31-scratch-improve/gate-harness/runs/positive_control_scaffold_40seed
[gate] Stage 1 SKIPPED (--skip-stage1)
[gate] Stage 2 SKIPPED (--skip-stage2)
[gate:candidate] hero=consult/artifacts/2026-05-31-scratch-improve/gate-harness/scaffold_candidate.zip comps=C0,C1 hands=400 seeds=142..181 jobs=1 pending=80 resumed=0
[gate:locked] C0 seed=171 hands=317/400 delta=-10000 bust=1 hero_err=0/85 p99_ms=1.197 dur=0.79s
[gate:locked] C0 seed=172 hands=400/400 delta=+15250 bust=0 hero_err=0/475 p99_ms=1.158 dur=0.97s
[gate:locked] C0 seed=173 hands=400/400 delta=+12383 bust=0 hero_err=0/486 p99_ms=1.241 dur=1.15s
[gate:locked] C0 seed=174 hands=400/400 delta=+18669 bust=0 hero_err=0/480 p99_ms=1.438 dur=1.21s
[gate:locked] C0 seed=175 hands=400/400 delta=-10000 bust=1 hero_err=0/6 p99_ms=0.760 dur=0.96s
[gate:locked] C0 seed=176 hands=400/400 delta=+8100 bust=0 hero_err=0/467 p99_ms=0.999 dur=0.96s
[gate:locked] C0 seed=177 hands=400/400 delta=-10000 bust=1 hero_err=0/11 p99_ms=0.660 dur=0.73s
[gate:locked] C0 seed=178 hands=268/400 delta=-10000 bust=1 hero_err=0/48 p99_ms=0.996 dur=0.75s
[gate:locked] C0 seed=179 hands=400/400 delta=-10000 bust=1 hero_err=0/42 p99_ms=1.586 dur=1.12s
[gate:locked] C0 seed=180 hands=400/400 delta=-10000 bust=1 hero_err=0/134 p99_ms=1.327 dur=1.05s
[gate:locked] C0 seed=181 hands=400/400 delta=+534 bust=0 hero_err=0/466 p99_ms=1.164 dur=1.2s
[gate:locked] C1 seed=142 hands=400/400 delta=-10000 bust=1 hero_err=0/45 p99_ms=0.816 dur=3.15s
[gate:locked] C1 seed=143 hands=400/400 delta=+40060 bust=0 hero_err=0/443 p99_ms=1.102 dur=1.97s
[gate:locked] C1 seed=144 hands=400/400 delta=+1182 bust=0 hero_err=0/558 p99_ms=1.038 dur=2.56s
[gate:locked] C1 seed=145 hands=400/400 delta=-10000 bust=1 hero_err=0/155 p99_ms=0.634 dur=3.53s
[gate:locked] C1 seed=146 hands=400/400 delta=+36932 bust=0 hero_err=0/344 p99_ms=0.771 dur=1.07s
[gate:locked] C1 seed=147 hands=400/400 delta=+22743 bust=0 hero_err=0/550 p99_ms=1.055 dur=2.56s
[gate:locked] C1 seed=148 hands=318/400 delta=-10000 bust=1 hero_err=0/383 p99_ms=1.049 dur=2.14s
